Location,Total Cost ($),Cost per drink ($),Cost per capita ($)
Alabama,3724300000,2.27,779
Alaska,827200000,2.25,1165
Arizona,5946400000,2.27,930
Arkansas,2073300000,2.27,711
California,35010600000,2.44,940
Colorado,5056500000,2.14,1005
Connecticut,3029000000,2.04,847
Delaware,803800000,1.64,895
District of Columbia,918400000,2.14,1526
Florida,15322200000,1.82,815
Georgia,6930900000,2.12,715
Hawaii,937400000,1.58,689
Idaho,1137900000,1.62,726
Illinois,9715700000,1.86,757
Indiana,4468200000,1.96,689
Iowa,1933600000,1.59,635
Kansas,2075800000,2.18,728
Kentucky,3194500000,2.36,736
Louisiana,3801400000,1.91,839
Maine,938700000,1.58,707
Maryland,4964700000,2.22,860
Massachusetts,5634600000,1.93,861
Michigan,8161700000,2.1,826
Minnesota,3886400000,1.74,733
Mississippi,2277400000,2.05,768
Missouri,4603600000,1.83,769
Montana,870800000,1.73,880
Nebraska,1166500000,1.61,639
Nevada,2296300000,1.49,850
New Hampshire,959900000,0.92,729
New Jersey,6175200000,1.7,702
New Mexico,2232900000,2.77,1084
New York,16330200000,2.28,843
North Carolina,7034200000,2.11,738
North Dakota,487600000,1.4,725
Ohio,8519800000,2.1,739
Oklahoma,3081200000,2.49,821
Oregon,3520200000,2.08,919
Pennsylvania,9544200000,1.92,751
Rhode Island,886500000,1.82,842
South Carolina,3982900000,2.13,861
South Dakota,598200000,1.59,735
Tennessee,4683800000,2.25,738
Texas,18820600000,1.99,748
Utah,1636100000,2.74,592
Vermont,513000000,1.66,820
Virginia,6126000000,2.06,766
Washington,5805100000,2.23,863
West Virginia,1334900000,2.2,720
Wisconsin,4452900000,1.62,783
Wyoming,593100000,2.33,1052
